NOAA_AR,T_REC,NOAA_NUM,CLASS,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45
11087,2010.07.16_18:36:00_TAI,1,C,-0.236685496,-0.449227225,-0.191020405,-0.07837177,-0.212119143,-0.248036928,0.130294966,-0.767577367,-0.266736622,-0.761855043
11087,2010.07.16_19:12:00_TAI,1,C,-0.234323499,-0.441513209,-0.166201945,-0.111059954,-0.078010998,-0.190324099,0.134916404,-0.823761518,-0.613788741,-0.779269651
11087,2010.07.16_19:48:00_TAI,1,C,-0.244385325,-0.444405965,-0.168170881,-0.128185157,-0.132166721,-0.178781534,0.129537927,-0.865089597,-0.222154828,-0.779207677
11087,2010.07.16_20:24:00_TAI,1,C,-0.259027792,-0.447539784,-0.202845404,-0.101205373,-0.005492782,-0.190324099,0.119365048,-0.858093809,-0.250275652,-0.798109654
11087,2010.07.16_21:00:00_TAI,1,C,-0.277917883,-0.451396792,-0.231233747,-0.186142825,-0.131814835,-0.207637948,0.116565226,-0.845512413,-0.239301672,-0.845705451
11087,2010.07.16_21:36:00_TAI,1,C,-0.279790278,-0.458387619,-0.240281749,-0.231991428,-0.063849328,-0.219180513,0.099492701,-0.839949374,-0.310632542,-0.862500322
11087,2010.07.16_22:12:00_TAI,1,C,-0.287892227,-0.458869745,-0.261575852,-0.197300491,-0.160416709,-0.230723079,0.090010405,-0.820046015,-0.215981964,-0.892433616
11087,2010.07.16_22:48:00_TAI,1,C,-0.279306558,-0.4552538,-0.244925252,-0.211130962,-0.328657779,-0.236494362,0.089133805,-0.79818204,-2.148774202,-0.844465977
11087,2010.07.16_23:24:00_TAI,1,C,-0.298389255,-0.459110808,-0.271883366,-0.222777284,-0.308279129,-0.248036928,0.088107926,-0.787717816,-0.382649286,-0.861198874
11087,2010.07.17_00:00:00_TAI,1,C,-0.277411373,-0.461039312,-0.258400516,-0.227845249,-0.386599,-0.248036928,0.070899096,-0.787394491,-2.148774202,-0.876630324
11087,2010.07.17_00:36:00_TAI,1,C,-0.286177152,-0.463932068,-0.268195879,-0.208054645,-0.256097932,-0.253808211,0.065214439,-0.783012383,-2.148774202,-0.875948613
