NOAA_AR,T_REC,NOAA_NUM,CLASS,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45
12562,2016.07.12_09:24:00_TAI,1,N,-0.608448898,-0.58012892,-0.622116926,-0.366009282,-0.237540158,-0.623738398,-0.32941584,-0.913184689,-0.145336967,-0.862128479
12562,2016.07.12_10:00:00_TAI,1,N,-0.61694341,-0.581816396,-0.632306456,-0.397209284,-0.336350688,-0.62720106,-0.330203202,-0.931912581,-0.462210642,-0.873221771
12562,2016.07.12_10:36:00_TAI,1,N,-0.613440481,-0.58133426,-0.623801714,-0.38702523,-0.300060852,-0.619698625,-0.328083026,-0.947330492,-0.928604794,-0.864731375
12562,2016.07.12_11:12:00_TAI,1,N,-0.619772954,-0.582057464,-0.630362559,-0.347580994,-0.23323823,-0.617967294,-0.326377953,-0.961853499,-0.191290509,-0.808583208
12562,2016.07.12_11:48:00_TAI,1,N,-0.609565571,-0.583262804,-0.616334172,-0.308021998,-0.221170033,-0.620275735,-0.317171135,-0.968051072,-0.347669725,-0.826803474
12562,2016.07.12_12:24:00_TAI,1,N,-0.608512119,-0.584709212,-0.622281953,-0.321274965,-0.281614105,-0.620275735,-0.315224604,-0.970798263,-0.129561871,-0.91666533
12562,2016.07.12_13:00:00_TAI,1,N,-0.605532608,-0.587119892,-0.624609774,-0.289271641,-0.268743014,-0.624315508,-0.328809062,-0.975547882,-0.120645512,-0.907121381
12562,2016.07.12_13:36:00_TAI,1,N,-0.592298664,-0.587843096,-0.606801334,-0.290415542,-0.220518797,-0.620852846,-0.324544118,-0.995713987,-0.351099093,-0.902101512
12562,2016.07.12_14:12:00_TAI,1,N,-0.596644796,-0.588084164,-0.60892695,-0.277847435,-0.245416453,-0.624315508,-0.327207483,-0.994959009,-0.233128808,-0.919702041
12562,2016.07.12_14:48:00_TAI,1,N,-0.592195745,-0.586878824,-0.598317077,-0.286676576,-0.259821965,-0.620852846,-0.326391381,-0.998295359,-0.082236582,-0.869627296
12562,2016.07.12_15:24:00_TAI,1,N,-0.600640268,-0.586878824,-0.609329084,-0.306574537,-0.208403021,-0.622007066,-0.330328798,-0.999437092,0.068655644,-0.859091768
12562,2016.07.12_16:00:00_TAI,1,N,-0.609370025,-0.587119892,-0.617138059,-0.312460631,-0.223168348,-0.626623949,-0.319663194,-1.002669152,-0.063032117,-0.836037554
12562,2016.07.12_16:36:00_TAI,1,N,-0.599117798,-0.584468144,-0.607355215,-0.330955554,-0.262566675,-0.622584177,-0.313301156,-0.980768591,-0.112415027,-0.849361898
12562,2016.07.12_17:12:00_TAI,1,N,-0.616320014,-0.584709212,-0.623094566,-0.321349004,-0.235009554,-0.633549274,-0.323027476,-0.973298388,-0.419000595,-0.728823064
12562,2016.07.12_17:48:00_TAI,1,N,-0.618607026,-0.585673484,-0.639824455,-0.319076009,-0.230779986,-0.645091482,-0.319172355,-0.930053879,-0.162483811,-0.811495971
12562,2016.07.12_18:24:00_TAI,1,N,-0.609439863,-0.583503872,-0.636338413,-0.291844493,-0.236458729,-0.64278304,-0.321740072,-0.892283561,-0.1000693,-0.888467299
12562,2016.07.12_19:00:00_TAI,1,N,-0.601945137,-0.579887852,-0.628815483,-0.315018676,-0.30077751,-0.632972164,-0.321755988,-0.873369419,-0.049314642,-0.833186764
12562,2016.07.12_19:36:00_TAI,1,N,-0.568531671,-0.579164648,-0.594367064,-0.284777478,-0.327707183,-0.619698625,-0.325058566,-0.903116722,-0.032853672,-0.832629001
12562,2016.07.12_20:36:00_TAI,1,N,-0.559114561,-0.581093192,-0.571247807,-0.170698306,-0.081725116,-0.616813073,-0.33396886,-0.955830536,0.115980933,-0.71500293
12562,2016.07.12_21:12:00_TAI,1,N,-0.602854502,-0.583503872,-0.62450355,-0.225427878,-0.141794504,-0.64336015,-0.335328528,-0.919514348,0.20857389,-0.683892136
12562,2016.07.12_21:48:00_TAI,1,N,-0.628866604,-0.585191348,-0.645951678,-0.265978996,-0.171480782,-0.646245702,-0.341820763,-0.933441544,-0.029424303,-0.681165293
