NOAA_AR,T_REC,NOAA_NUM,CLASS,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45
11087,2010.07.16_18:36:00_TAI,1,C,-0.236685496,-0.44923174,-0.191020405,-0.07837177,-0.21211914,-0.248044179,0.130294966,-0.767577367,-0.266736622,-0.761855043
11087,2010.07.16_19:12:00_TAI,1,C,-0.234323499,-0.441517526,-0.166201943,-0.111059954,-0.078010991,-0.190332038,0.134916404,-0.823761518,-0.613788741,-0.779269651
11087,2010.07.16_19:48:00_TAI,1,C,-0.244385325,-0.444410356,-0.168170879,-0.128185157,-0.132166715,-0.178789609,0.129537927,-0.865089597,-0.222154828,-0.779207677
11087,2010.07.16_20:24:00_TAI,1,C,-0.259027792,-0.447544255,-0.202845404,-0.101205373,-0.005492773,-0.190332038,0.119365048,-0.858093809,-0.250275652,-0.798109654
11087,2010.07.16_21:00:00_TAI,1,C,-0.277917883,-0.451401363,-0.231233748,-0.186142825,-0.131814829,-0.20764568,0.116565226,-0.845512413,-0.239301672,-0.845705451
11087,2010.07.16_21:36:00_TAI,1,C,-0.279790278,-0.458392369,-0.240281751,-0.231991428,-0.063849321,-0.219188108,0.099492701,-0.839949374,-0.310632542,-0.862500322
11087,2010.07.16_22:12:00_TAI,1,C,-0.287892227,-0.458874507,-0.261575854,-0.197300491,-0.160416704,-0.230730537,0.090010405,-0.820046015,-0.215981964,-0.892433616
11087,2010.07.16_22:48:00_TAI,1,C,-0.279306558,-0.45525847,-0.244925254,-0.211130962,-0.328657778,-0.236501751,0.089133805,-0.79818204,-2.148774202,-0.844465977
11087,2010.07.16_23:24:00_TAI,1,C,-0.298389255,-0.459115577,-0.271883369,-0.222777284,-0.308279128,-0.248044179,0.088107926,-0.787717816,-0.382649286,-0.861198874
11087,2010.07.17_00:00:00_TAI,1,C,-0.277411373,-0.46104413,-0.258400518,-0.227845249,-0.386599001,-0.248044179,0.070899096,-0.787394491,-2.148774202,-0.876630324
11087,2010.07.17_00:36:00_TAI,1,C,-0.286177152,-0.463936961,-0.268195881,-0.208054645,-0.256097929,-0.253815393,0.065214439,-0.783012383,-2.148774202,-0.875948613
11087,2010.07.17_01:12:00_TAI,1,C,-0.284681147,-0.466106583,-0.260612252,-0.216391427,-0.366570254,-0.253815393,0.059786782,-0.795937296,-0.477299864,-0.855311373
