NOAA_AR,T_REC,NOAA_NUM,CLASS,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45
11087,2010.07.16_18:36:00_TAI,1,C,-0.236685496,-0.449117697,-0.191019991,-0.07837177,-0.212119599,-0.249071992,0.130294966,-0.767577367,-0.266736622,-0.761855043
11087,2010.07.16_19:12:00_TAI,1,C,-0.234323499,-0.441603896,-0.166201908,-0.111059954,-0.078010755,-0.192839575,0.134916404,-0.823761518,-0.613788741,-0.779269651
11087,2010.07.16_19:48:00_TAI,1,C,-0.244385325,-0.444339989,-0.168172362,-0.128185157,-0.132166282,-0.178519604,0.129537927,-0.865089597,-0.222154828,-0.779207677
11087,2010.07.16_20:24:00_TAI,1,C,-0.259027792,-0.447419092,-0.202844232,-0.101205373,-0.005492735,-0.189677558,0.119365048,-0.858093809,-0.250275652,-0.798109654
11087,2010.07.16_21:00:00_TAI,1,C,-0.277917883,-0.451356621,-0.231233335,-0.186142825,-0.13181509,-0.205895085,0.116565226,-0.845512413,-0.239301672,-0.845705451
11087,2010.07.16_21:36:00_TAI,1,C,-0.279790278,-0.458344108,-0.240281338,-0.231991428,-0.063848886,-0.220795634,0.099492701,-0.839949374,-0.310632542,-0.862500322
11087,2010.07.16_22:12:00_TAI,1,C,-0.287892227,-0.458872061,-0.261576201,-0.197300491,-0.160416866,-0.230793585,0.090010405,-0.820046015,-0.215981964,-0.892433616
11087,2010.07.16_22:48:00_TAI,1,C,-0.279306558,-0.45513582,-0.244923703,-0.211130962,-0.32865814,-0.236584941,0.089133805,-0.79818204,-2.148774202,-0.844465977
11087,2010.07.16_23:24:00_TAI,1,C,-0.298389255,-0.459109388,-0.271883716,-0.222777284,-0.308278796,-0.247121918,0.088107926,-0.787717816,-0.382649286,-0.861198874
11087,2010.07.17_00:00:00_TAI,1,C,-0.277411373,-0.461149942,-0.258402381,-0.227845249,-0.386598769,-0.247210217,0.070899096,-0.787394491,-2.148774202,-0.876630324
11087,2010.07.17_00:36:00_TAI,1,C,-0.286177152,-0.463988511,-0.268196986,-0.208054645,-0.256098291,-0.255481439,0.065214439,-0.783012383,-2.148774202,-0.875948613
11087,2010.07.17_01:12:00_TAI,1,C,-0.284681147,-0.465996063,-0.26061146,-0.216391427,-0.366570121,-0.256346535,0.059786782,-0.795937296,-0.477299864,-0.855311373
11087,2010.07.17_01:48:00_TAI,1,C,-0.283745317,-0.469024397,-0.252570308,-0.210649709,-0.282006405,-0.252174566,0.062553187,-0.81617182,-0.348355598,-0.870556902
11087,2010.07.17_02:24:00_TAI,1,C,-0.283791631,-0.468734254,-0.253264558,-0.230158965,-0.326234886,-0.24458261,0.049774195,-0.829458781,-0.477299864,-0.875452824
