NOAA_AR,T_REC,NOAA_NUM,CLASS,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45
11087,2010.07.16_18:36:00_TAI,1,C,-0.236685496,-0.449234475,-0.191020408,-0.07837177,-0.21211914,-0.248041027,0.130294966,-0.767577367,-0.266736622,-0.761855043
11087,2010.07.16_19:12:00_TAI,1,C,-0.234323499,-0.441520257,-0.166201947,-0.111059954,-0.078010996,-0.190328445,0.134916404,-0.823761518,-0.613788741,-0.779269651
11087,2010.07.16_19:48:00_TAI,1,C,-0.244385325,-0.444413089,-0.168170883,-0.128185157,-0.132166718,-0.178785929,0.129537927,-0.865089597,-0.222154828,-0.779207677
11087,2010.07.16_20:24:00_TAI,1,C,-0.259027792,-0.44754699,-0.202845407,-0.101205373,-0.005492781,-0.190328445,0.119365048,-0.858093809,-0.250275652,-0.798109654
11087,2010.07.16_21:00:00_TAI,1,C,-0.277917883,-0.451404099,-0.23123375,-0.186142825,-0.131814832,-0.20764222,0.116565226,-0.845512413,-0.239301672,-0.845705451
11087,2010.07.16_21:36:00_TAI,1,C,-0.279790278,-0.458395109,-0.240281753,-0.231991428,-0.063849326,-0.219184736,0.099492701,-0.839949374,-0.310632542,-0.862500322
11087,2010.07.16_22:12:00_TAI,1,C,-0.287892227,-0.458877248,-0.261575856,-0.197300491,-0.160416706,-0.230727252,0.090010405,-0.820046015,-0.215981964,-0.892433616
11087,2010.07.16_22:48:00_TAI,1,C,-0.279306558,-0.455261208,-0.244925256,-0.211130962,-0.328657775,-0.236498511,0.089133805,-0.79818204,-2.148774202,-0.844465977
11087,2010.07.16_23:24:00_TAI,1,C,-0.298389255,-0.459118317,-0.27188337,-0.222777284,-0.308279126,-0.248041027,0.088107926,-0.787717816,-0.382649286,-0.861198874
11087,2010.07.17_00:00:00_TAI,1,C,-0.277411373,-0.461046872,-0.258400519,-0.227845249,-0.386598996,-0.248041027,0.070899096,-0.787394491,-2.148774202,-0.876630324
11087,2010.07.17_00:36:00_TAI,1,C,-0.286177152,-0.463939703,-0.268195882,-0.208054645,-0.256097929,-0.253812285,0.065214439,-0.783012383,-2.148774202,-0.875948613
11087,2010.07.17_01:12:00_TAI,1,C,-0.284681147,-0.466109327,-0.260612253,-0.216391427,-0.36657025,-0.253812285,0.059786782,-0.795937296,-0.477299864,-0.855311373
11087,2010.07.17_01:48:00_TAI,1,C,-0.283745317,-0.469002159,-0.252569584,-0.210649709,-0.282006637,-0.253812285,0.062553187,-0.81617182,-0.348355598,-0.870556902
11087,2010.07.17_02:24:00_TAI,1,C,-0.283791631,-0.46876109,-0.253263834,-0.230158965,-0.326235215,-0.242269769,0.049774195,-0.829458781,-0.477299864,-0.875452824
11087,2010.07.17_03:00:00_TAI,1,C,-0.282513227,-0.467073605,-0.245088385,-0.250771401,-0.459091439,-0.230727252,0.053020124,-0.843835448,-0.577437432,-0.898321117
11087,2010.07.17_03:36:00_TAI,1,C,-0.272405087,-0.467073605,-0.237087447,-0.217587156,-0.375858053,-0.213413478,0.065968311,-0.857531019,-0.613788741,-0.940091386
11087,2010.07.17_04:12:00_TAI,1,C,-0.268980817,-0.468037882,-0.237235402,-0.209653885,-0.330793871,-0.201870961,0.064479955,-0.876035363,-0.365502442,-0.990476
11087,2010.07.17_04:48:00_TAI,1,C,-0.269246937,-0.471653922,-0.221867077,-0.24312318,-0.348923424,-0.184557187,0.049433393,-0.920153395,-0.496504329,-0.962525864
11087,2010.07.17_05:24:00_TAI,1,C,-0.266218171,-0.471171783,-0.21551261,-0.294073065,-0.316367544,-0.17301467,0.062925446,-0.93882926,-2.148774202,-1.000329817
11087,2010.07.17_06:00:00_TAI,1,C,-0.262014655,-0.468278951,-0.186278268,-0.291100402,-0.19856212,-0.138387121,0.059564708,-0.974070946,-0.814063877,-1.027474295
